,x,y,l
0,25.0514,5.7475,1.0
1,26.6614,7.3414,1.0
2,25.2653,6.2466,1.0
3,25.2285,4.7447,1.0
4,25.7529,5.1564,1.0
5,24.0785,5.6693,1.0
6,25.2722,6.8676,1.0
7,24.6535,6.2443,1.0
8,26.9834,6.633,1.0
9,25.7437,6.3179,1.0
10,26.4774,7.7416,1.0
11,26.7373,4.4756,1.0
12,27.1812,6.2972,1.0
13,25.4999,5.6739,1.0
14,25.3021,6.1431,1.0
15,23.3609,5.6601,1.0
16,25.5482,5.7107,1.0
17,26.2198,5.7337,1.0
18,25.884,6.3294,1.0
19,24.4649,5.7521,1.0
20,24.7708,6.7572,1.0
21,25.3274,5.6463,1.0
22,25.999,4.8551,1.0
23,25.0238,6.2742,1.0
24,25.8242,6.7848,1.0
25,25.4286,6.2834,1.0
26,27.3445,6.4697,1.0
27,24.6236,6.1178,1.0
28,27.126,6.1109,1.0
29,25.677,5.9085,1.0
30,25.539,6.3777,1.0
31,25.0491,6.0603,1.0
32,26.5924,6.0925,1.0
33,25.217,7.7531,1.0
34,25.2492,5.6486,1.0
35,24.941,5.0184,1.0
36,25.2814,7.5461,1.0
37,24.8191,6.1316,1.0
38,26.0105,6.8377,1.0
39,25.0215,6.564,1.0
40,25.1618,6.3064,1.0
41,25.8955,5.4393,1.0
42,24.8375,5.4416,1.0
43,25.4562,6.702,1.0
44,25.7161,5.5152,1.0
45,26.7212,4.7424,1.0
46,24.4649,7.2471,1.0
47,24.6328,5.3473,1.0
48,25.7253,6.7296,1.0
49,27.1168,5.6946,1.0
50,26.4958,5.9039,1.0
51,25.1158,6.1914,1.0
52,25.6103,7.6197,1.0
53,26.3026,6.7802,1.0
54,24.7915,6.2627,1.0
55,25.0997,5.8004,1.0
56,25.4838,7.0148,1.0
57,25.4217,7.3138,1.0
58,27.1306,6.9573,1.0
59,24.3338,5.1679,1.0
60,24.6236,5.6877,1.0
61,25.5183,4.8229,1.0
62,26.39,7.0401,1.0
63,24.3039,4.8827,1.0
64,25.5275,4.9333,1.0
65,24.8973,7.1919,1.0
66,24.7731,6.0925,1.0
67,26.5855,6.8423,1.0
68,25.6356,5.6371,1.0
69,26.7718,5.5336,1.0
70,24.8536,5.5152,1.0
71,25.8587,5.2208,1.0
72,25.2538,5.5727,1.0
73,25.4838,4.9333,1.0
74,25.5436,5.9844,1.0
75,23.1838,5.7314,1.0
76,27.7102,6.2535,1.0
77,25.1204,4.6504,1.0
78,25.2538,5.5681,1.0
79,25.5137,6.357,1.0
80,27.2249,5.5727,1.0
81,24.6581,5.9936,1.0
82,25.1894,5.4991,1.0
83,25.2446,5.9591,1.0
84,24.8007,4.4158,1.0
85,26.275,5.5888,1.0
86,25.8748,6.5456,1.0
87,24.6328,6.7503,1.0
88,24.8766,4.4664,1.0
89,26.4498,6.6997,1.0
90,25.148,5.9292,1.0
91,24.5914,5.8004,1.0
92,25.6954,5.9867,1.0
93,26.344,5.9522,1.0
94,26.8224,5.667,1.0
95,26.1347,5.0161,1.0
96,25.263,5.3082,1.0
97,24.6305,6.8354,1.0
98,25.8035,6.1937,1.0
99,26.0243,7.5576,1.0
100,18.4941,12.5877,2.0
101,18.1606,12.5486,2.0
102,17.9628,10.4625,2.0
103,17.7558,12.1231,2.0
104,17.4867,10.6626,2.0
105,16.7139,11.5849,2.0
106,17.259,11.7482,2.0
107,17.4959,11.5596,2.0
108,18.7908,10.497,2.0
109,18.3607,11.8287,2.0
110,17.2038,11.7689,2.0
111,16.96,10.6373,2.0
112,17.2866,12.2933,2.0
113,17.3694,11.5596,2.0
114,17.9858,11.5067,2.0
115,18.0272,12.6176,2.0
116,17.1026,13.1719,2.0
117,17.5212,11.8747,2.0
118,17.512,10.9915,2.0
119,16.7898,12.2128,2.0
120,17.1233,11.6102,2.0
121,18.6137,11.3802,2.0
122,16.7714,11.3871,2.0
123,16.0676,10.8121,2.0
124,17.8041,11.7022,2.0
125,17.8984,9.945,2.0
126,16.638,12.9649,2.0
127,16.4632,10.658,2.0
128,18.5125,11.8425,2.0
129,17.9306,12.1898,2.0
130,17.6132,13.4686,2.0
131,16.7392,11.0306,2.0
132,18.4642,11.7137,2.0
133,17.3625,12.0035,2.0
134,17.5557,11.2123,2.0
135,17.6868,11.4354,2.0
136,18.5171,9.876,2.0
137,16.1251,10.6649,2.0
138,17.5419,11.8885,2.0
139,17.8961,11.8057,2.0
140,18.2365,11.7666,2.0
141,18.1008,11.3641,2.0
142,18.3653,12.0633,2.0
143,19.3635,11.6286,2.0
144,17.9237,11.5573,2.0
145,16.9853,12.3186,2.0
146,16.8749,11.5182,2.0
147,18.0272,11.9621,2.0
148,17.6293,11.3503,2.0
149,16.5575,11.3388,2.0
150,18.2388,11.4676,2.0
151,17.811,11.4768,2.0
152,16.1895,9.968,2.0
153,16.845,12.9235,2.0
154,17.4637,10.8213,2.0
155,17.6339,10.8144,2.0
156,17.4384,12.2128,2.0
157,17.9421,11.8057,2.0
158,16.615,12.0702,2.0
159,15.6398,11.2284,2.0
160,16.7415,11.8793,2.0
161,16.8197,12.1162,2.0
162,15.9181,11.4124,2.0
163,17.8363,11.8563,2.0
164,17.696,11.9414,2.0
165,16.845,10.6672,2.0
166,18.5378,11.6516,2.0
167,17.1877,11.9828,2.0
168,18.4527,11.2468,2.0
169,16.8956,11.1065,2.0
170,18.1422,11.9966,2.0
171,16.8059,11.1318,2.0
172,17.4913,10.428,2.0
173,16.3045,10.8765,2.0
174,17.4453,9.8668,2.0
175,17.5396,11.4791,2.0
176,17.7328,11.21,2.0
177,17.466,10.4234,2.0
178,18.4803,12.0955,2.0
179,17.2889,11.7873,2.0
180,18.3883,10.0025,2.0
181,17.6523,11.509,2.0
182,17.4982,11.9552,2.0
183,17.5948,11.3848,2.0
184,17.7328,11.6562,2.0
185,19.3934,12.5601,2.0
186,17.9651,12.5256,2.0
187,17.0428,11.3595,2.0
188,17.6086,11.7206,2.0
189,18.9817,11.6999,2.0
190,17.1992,12.5969,2.0
191,16.9163,11.4929,2.0
192,17.3096,11.1893,2.0
193,18.9403,11.6999,2.0
194,17.098,13.5744,2.0
195,16.3206,12.0679,2.0
196,18.4343,12.4474,2.0
197,18.3124,11.6631,2.0
198,16.7277,11.6654,2.0
199,18.2457,13.0201,2.0
200,8.4155,9.7633,3.0
201,7.1413,10.3981,3.0
202,7.691,11.969,3.0
203,8.6363,9.8139,3.0
204,7.8704,10.957,3.0
205,7.2103,11.1249,3.0
206,7.6289,9.899,3.0
207,7.5645,8.8824,3.0
208,7.5967,9.5241,3.0
209,8.1372,10.3015,3.0
210,7.8106,11.3227,3.0
211,8.9514,11.0628,3.0
212,8.8456,10.3866,3.0
213,8.6869,11.0007,3.0
214,7.6611,10.7592,3.0
215,8.1648,10.3061,3.0
216,9.1515,10.796,3.0
217,8.5029,9.1791,3.0
218,8.1441,10.8443,3.0
219,9.0756,9.3723,3.0
220,7.8428,9.9703,3.0
221,8.8295,10.4648,3.0
222,8.1993,9.7863,3.0
223,9.2021,11.0076,3.0
224,8.1625,10.474,3.0
225,8.2085,9.9634,3.0
226,8.8456,11.5619,3.0
227,9.209,11.0467,3.0
228,8.588,11.0329,3.0
229,7.8934,11.3756,3.0
230,7.898,10.2049,3.0
231,9.1584,10.8535,3.0
232,8.9813,9.7127,3.0
233,8.6271,11.8379,3.0
234,7.806,11.4975,3.0
235,7.9233,10.4004,3.0
236,8.8042,10.3015,3.0
237,8.8272,11.0283,3.0
238,9.715,9.9151,3.0
239,8.3189,9.0365,3.0
240,9.5954,9.1469,3.0
241,7.4081,9.8001,3.0
242,9.0733,8.9307,3.0
243,7.9118,9.0848,3.0
244,8.1717,9.0687,3.0
245,9.393,9.4735,3.0
246,7.5277,10.6994,3.0
247,7.3575,10.3268,3.0
248,10.1635,9.1239,3.0
249,9.4344,12.3485,3.0
250,8.8249,9.9335,3.0
251,7.6979,10.1405,3.0
252,9.002,11.1433,3.0
253,7.3253,9.6644,3.0
254,8.0636,11.1088,3.0
255,6.8768,10.4303,3.0
256,7.737,10.3613,3.0
257,7.0953,11.1433,3.0
258,9.6023,9.0526,3.0
259,6.0695,9.669,3.0
260,7.0815,10.4993,3.0
261,8.2729,11.1157,3.0
262,7.5461,10.7178,3.0
263,9.1837,9.8484,3.0
264,8.1694,10.7868,3.0
265,8.9951,9.5678,3.0
266,7.7324,9.5954,3.0
267,7.8359,9.4965,3.0
268,7.9095,9.0066,3.0
269,7.9969,10.7063,3.0
270,8.9905,10.8006,3.0
271,10.4004,9.9749,3.0
272,8.9215,10.0577,3.0
273,8.4914,10.2233,3.0
274,9.5678,10.5683,3.0
275,8.9491,9.7863,3.0
276,9.2527,10.8558,3.0
277,7.7577,9.9749,3.0
278,9.3102,11.6539,3.0
279,8.9836,9.7104,3.0
280,8.6892,9.7219,3.0
281,7.2816,10.2831,3.0
282,9.2435,10.6212,3.0
283,10.1681,9.0802,3.0
284,8.0314,9.5678,3.0
285,9.071,10.2187,3.0
286,8.3557,10.152,3.0
287,7.8175,8.6938,3.0
288,9.0089,10.3958,3.0
289,8.0774,10.6695,3.0
290,7.3138,11.6608,3.0
291,8.7927,10.0876,3.0
292,8.4592,10.3337,3.0
293,8.6823,9.0986,3.0
294,9.1722,10.5729,3.0
295,7.4564,11.325,3.0
296,8.8019,11.3342,3.0
297,8.2913,9.4229,3.0
298,7.7508,10.9478,3.0
299,7.7945,10.8995,3.0
300,24.0394,24.6765,4.0
301,24.6972,24.4442,4.0
302,23.8945,24.9916,4.0
303,23.837,24.8536,4.0
304,26.4199,24.7225,4.0
305,26.1853,23.7795,4.0
306,24.9111,24.8168,4.0
307,23.7197,23.4483,4.0
308,23.3218,22.9584,4.0
309,26.4015,24.6006,4.0
310,25.4332,25.4953,4.0
311,25.953,26.1692,4.0
312,24.0486,25.4286,4.0
313,23.8692,23.8531,4.0
314,24.3499,25.1388,4.0
315,24.1498,24.6788,4.0
316,24.596,24.458,4.0
317,24.6075,24.6029,4.0
318,24.9134,24.6052,4.0
319,24.8513,24.4856,4.0
320,24.6535,23.0642,4.0
321,24.0555,24.3729,4.0
322,23.4437,24.0555,4.0
323,25.102,25.3205,4.0
324,24.8536,24.9525,4.0
325,23.7266,26.1094,4.0
326,24.8513,23.4322,4.0
327,25.2009,24.711,4.0
328,24.1222,24.6926,4.0
329,24.6903,24.0325,4.0
330,23.9842,23.3839,4.0
331,25.5827,23.7864,4.0
332,24.6397,24.251,4.0
333,23.8393,24.3154,4.0
334,25.6678,23.6599,4.0
335,24.9433,24.0003,4.0
336,24.7064,24.3476,4.0
337,24.2441,23.6231,4.0
338,24.6282,23.423,4.0
339,23.3218,24.8766,4.0
340,24.6972,24.5523,4.0
341,26.0036,25.7782,4.0
342,26.0404,23.8761,4.0
343,25.9415,23.883,4.0
344,23.9359,23.8347,4.0
345,25.8058,24.6328,4.0
346,24.9318,23.8623,4.0
347,25.3021,24.5201,4.0
348,24.5891,24.297,4.0
349,23.2873,23.1148,4.0
350,24.0049,23.9129,4.0
351,24.9088,24.9295,4.0
352,24.1475,26.689,4.0
353,26.4843,23.7105,4.0
354,25.4447,24.0049,4.0
355,24.8007,24.5017,4.0
356,25.9668,25.079,4.0
357,24.3407,23.5886,4.0
358,24.3154,24.2188,4.0
359,25.9944,23.9796,4.0
360,24.435,24.297,4.0
361,24.6512,24.9433,4.0
362,24.4856,23.6553,4.0
363,25.2308,25.3205,4.0
364,25.7184,23.9359,4.0
365,24.5316,23.8071,4.0
366,24.8996,24.5868,4.0
367,25.4792,24.1912,4.0
368,24.665,23.239,4.0
369,26.1508,24.5753,4.0
370,25.1135,22.2385,4.0
371,24.6098,24.7087,4.0
372,24.3752,24.4787,4.0
373,26.0772,24.9088,4.0
374,24.0946,24.4672,4.0
375,23.4299,25.0652,4.0
376,24.6581,25.861,4.0
377,26.712,24.5224,4.0
378,25.6517,23.9451,4.0
379,24.8191,24.9778,4.0
380,24.2855,24.2694,4.0
381,25.5045,24.5247,4.0
382,24.8605,23.4437,4.0
383,25.4401,24.4189,4.0
384,25.2722,24.7708,4.0
385,24.7248,24.1107,4.0
386,24.5914,25.5781,4.0
387,25.1434,23.7036,4.0
388,25.0675,24.4925,4.0
389,24.297,23.975,4.0
390,23.262,24.7524,4.0
391,25.6862,23.1999,4.0
392,25.4953,24.9893,4.0
393,24.7593,24.366,4.0
394,24.9709,23.9796,4.0
395,24.4925,23.7795,4.0
396,24.3545,24.4028,4.0
397,24.665,23.6208,4.0
398,24.7984,24.4787,4.0
399,25.6632,23.9773,4.0
400,4.057,21.4519,5.0
401,5.7912,19.7499,5.0
402,3.9719,19.8787,5.0
403,5.3174,18.8092,5.0
404,5.7406,22.066,5.0
405,4.9172,20.7688,5.0
406,4.3951,20.1363,5.0
407,6.1868,19.2324,5.0
408,4.8045,21.1989,5.0
409,6.173,19.3359,5.0
410,6.7848,21.0448,5.0
411,4.9218,20.019,5.0
412,6.0672,19.8695,5.0
413,6.3248,19.9684,5.0
414,4.7424,20.41,5.0
415,4.6665,20.4514,5.0
416,4.3491,20.2697,5.0
417,5.0897,19.8902,5.0
418,5.7498,20.6883,5.0
419,6.0304,20.1501,5.0
420,4.2962,20.9275,5.0
421,4.1973,20.4997,5.0
422,4.3192,20.1708,5.0
423,6.1661,21.6704,5.0
424,5.115,19.7499,5.0
425,5.0069,20.8263,5.0
426,5.0621,20.1478,5.0
427,4.7286,19.2761,5.0
428,5.3013,19.4233,5.0
429,5.5704,19.4716,5.0
430,5.7337,20.502,5.0
431,7.1321,19.7384,5.0
432,5.5244,20.4353,5.0
433,5.3473,20.3893,5.0
434,5.3588,19.7062,5.0
435,5.7061,19.214,5.0
436,6.1638,19.766,5.0
437,4.931,20.0305,5.0
438,5.184,20.5963,5.0
439,5.6256,21.2702,5.0
440,5.9775,21.4726,5.0
441,5.4393,19.6602,5.0
442,6.2673,18.7494,5.0
443,4.9839,19.5705,5.0
444,4.7723,19.8373,5.0
445,5.1334,20.7734,5.0
446,4.2594,21.0816,5.0
447,6.012,19.7706,5.0
448,4.5676,19.9776,5.0
449,4.2042,20.9942,5.0
450,5.9016,20.1225,5.0
451,6.1592,21.0908,5.0
452,5.4117,19.3405,5.0
453,4.9724,20.0167,5.0
454,4.5906,19.3014,5.0
455,5.4531,20.7067,5.0
456,7.0355,19.6073,5.0
457,6.5134,21.4151,5.0
458,5.3864,20.8355,5.0
459,4.4756,20.2766,5.0
460,4.9632,20.1248,5.0
461,5.2898,19.7545,5.0
462,3.9604,21.5669,5.0
463,3.9627,20.8884,5.0
464,6.1523,18.9058,5.0
465,5.3105,18.5033,5.0
466,3.8293,20.8424,5.0
467,7.2701,20.0558,5.0
468,3.896,20.065,5.0
469,4.3376,19.7821,5.0
470,5.69,18.3952,5.0
471,5.4623,19.306,5.0
472,7.231,19.8856,5.0
473,4.6987,19.5751,5.0
474,6.6974,20.0121,5.0
475,6.1247,20.088,5.0
476,6.4214,20.571,5.0
477,5.322,19.5705,5.0
478,4.8758,20.4468,5.0
479,5.8694,20.3709,5.0
480,5.7406,21.3898,5.0
481,6.1753,20.4284,5.0
482,3.6499,20.364,5.0
483,5.6233,19.8304,5.0
484,5.3013,20.2444,5.0
485,6.2006,20.1892,5.0
486,5.6463,18.9334,5.0
487,5.5359,20.801,5.0
488,5.4209,21.2518,5.0
489,6.9987,21.7693,5.0
490,6.3455,20.0834,5.0
491,4.1904,21.2265,5.0
492,5.5681,21.0333,5.0
493,4.793,20.364,5.0
494,5.5566,20.3778,5.0
495,5.0552,18.2365,5.0
496,4.7677,20.5503,5.0
497,5.7613,19.5889,5.0
498,2.907,20.5641,5.0
499,6.5709,20.4031,5.0
500,28.0805,10.5315,6.0
501,27.3445,11.2123,6.0
502,26.8661,10.6672,6.0
503,26.6476,9.2412,6.0
504,25.7115,10.0508,6.0
505,26.367,10.3268,6.0
506,28.2346,10.4165,6.0
507,26.6361,9.784,6.0
508,27.3077,9.2964,6.0
509,26.7143,9.4712,6.0
510,25.953,8.2131,6.0
511,27.3445,9.3769,6.0
512,26.8615,10.3245,6.0
513,27.7148,11.1755,6.0
514,26.4291,10.3912,6.0
515,25.7598,9.3907,6.0
516,27.2479,10.1842,6.0
517,26.9857,10.5453,6.0
518,26.6338,10.1612,6.0
519,26.8753,11.2882,6.0
520,26.6223,10.2762,6.0
521,26.482,9.6644,6.0
522,29.5939,9.738,6.0
523,26.2543,10.3314,6.0
524,25.2377,9.7081,6.0
525,26.0312,10.06,6.0
526,27.9471,11.1686,6.0
527,26.6154,11.6355,6.0
528,26.6936,8.9675,6.0
529,25.8081,9.4574,6.0
530,27.3169,9.117,6.0
531,25.5321,10.566,6.0
532,27.2916,11.9713,6.0
533,26.7051,11.9782,6.0
534,26.7626,9.6253,6.0
535,27.9264,10.7109,6.0
536,27.0386,10.037,6.0
537,27.4986,10.4234,6.0
538,26.1577,9.5632,6.0
539,26.9213,11.9966,6.0
540,27.2433,9.1561,6.0
541,26.6959,10.2394,6.0
542,27.0708,10.8144,6.0
543,26.0197,10.9317,6.0
544,27.2663,11.4952,6.0
545,27.6136,9.7426,6.0
546,27.0478,10.2854,6.0
547,26.873,10.3613,6.0
548,26.9282,11.3917,6.0
549,27.6297,10.0209,6.0
550,27.0869,9.3033,6.0
551,25.746,11.4331,6.0
552,25.7598,10.5614,6.0
553,27.7447,10.9708,6.0
554,26.988,9.991,6.0
555,26.7189,10.2624,6.0
556,26.7718,10.267,6.0
557,27.402,10.9087,6.0
558,26.1485,10.6166,6.0
559,26.9811,10.2969,6.0
560,26.5694,9.2274,6.0
561,27.6757,9.5816,6.0
562,28.1817,10.8673,6.0
563,26.0726,10.911,6.0
564,26.5855,10.1451,6.0
565,27.1375,10.9432,6.0
566,27.31,9.3401,6.0
567,27.3123,10.2532,6.0
568,26.9098,8.2798,6.0
569,27.0179,9.6023,6.0
570,28.1518,10.5453,6.0
571,27.0179,10.6166,6.0
572,27.8942,10.4786,6.0
573,27.563,10.2739,6.0
574,27.0432,9.6,6.0
575,26.9443,10.865,6.0
576,26.321,10.5407,6.0
577,26.4084,12.6866,6.0
578,27.9287,10.9938,6.0
579,25.6701,10.9225,6.0
580,26.7051,10.3406,6.0
581,27.4296,9.7426,6.0
582,28.0,10.8903,6.0
583,27.3698,10.2279,6.0
584,26.9052,9.0319,6.0
585,27.2433,12.5624,6.0
586,26.1577,10.5292,6.0
587,27.0823,10.0876,6.0
588,26.8707,10.3475,6.0
589,26.3877,9.6989,6.0
590,26.3831,10.3038,6.0
591,27.0478,10.4809,6.0
592,26.7741,8.8272,6.0
593,26.6131,11.5734,6.0
594,26.7557,8.8387,6.0
595,25.7368,9.7403,6.0
596,26.0956,10.3751,6.0
597,25.8058,10.635,6.0
598,26.4245,10.2923,6.0
599,25.8357,10.451,6.0
600,19.9339,27.9149,7.0
601,21.1115,27.2065,7.0
602,21.3047,25.7023,7.0
603,20.4514,27.2134,7.0
604,21.6175,27.3767,7.0
605,23.2206,26.8247,7.0
606,21.0655,27.7194,7.0
607,21.4841,28.1242,7.0
608,21.5117,27.9517,7.0
609,23.0182,27.5423,7.0
610,21.5922,26.873,7.0
611,22.802,27.3836,7.0
612,20.847,28.2852,7.0
613,20.2053,27.6596,7.0
614,19.6993,27.8827,7.0
615,22.1603,28.483,7.0
616,21.7325,27.8804,7.0
617,22.6525,28.1564,7.0
618,21.0908,26.436,7.0
619,20.2076,28.023,7.0
620,20.686,27.7884,7.0
621,21.7808,27.8735,7.0
622,21.6037,28.2461,7.0
623,21.5485,26.9213,7.0
624,21.7831,26.7511,7.0
625,21.7003,27.2571,7.0
626,22.273,27.7723,7.0
627,22.5835,26.4222,7.0
628,21.7785,26.712,7.0
629,20.0788,26.6177,7.0
630,22.4202,29.104,7.0
631,20.5687,27.4618,7.0
632,20.5273,28.253,7.0
633,20.8838,27.448,7.0
634,20.9275,26.0404,7.0
635,20.7849,26.459,7.0
636,19.9017,26.2589,7.0
637,21.7325,26.5901,7.0
638,20.8999,27.8873,7.0
639,21.0195,26.505,7.0
640,21.5485,27.747,7.0
641,22.1672,26.9926,7.0
642,21.8268,26.7649,7.0
643,23.0573,28.5336,7.0
644,20.6607,26.7902,7.0
645,21.2794,27.6389,7.0
646,21.1805,26.8638,7.0
647,20.7987,27.1421,7.0
648,21.7624,26.5832,7.0
649,20.962,27.2042,7.0
650,21.2909,27.8873,7.0
651,21.7302,26.0588,7.0
652,21.6175,27.5538,7.0
653,20.3617,27.8666,7.0
654,21.9717,27.4342,7.0
655,20.7734,29.3754,7.0
656,20.6791,26.9512,7.0
657,21.6405,28.5359,7.0
658,20.732,26.7557,7.0
659,22.6019,29.4513,7.0
660,22.3075,26.2497,7.0
661,20.6354,29.7871,7.0
662,20.502,27.0478,7.0
663,20.4077,27.678,7.0
664,21.2081,27.0915,7.0
665,21.8636,27.7746,7.0
666,21.1368,28.2576,7.0
667,21.8774,27.241,7.0
668,21.5301,27.517,7.0
669,19.5222,27.5147,7.0
670,20.6814,26.8477,7.0
671,20.3364,27.0018,7.0
672,20.824,27.954,7.0
673,20.8723,28.3082,7.0
674,21.1506,28.1633,7.0
675,21.468,27.3652,7.0
676,21.2311,27.0984,7.0
677,20.9988,27.1329,7.0
678,22.3029,27.54,7.0
679,23.1056,27.724,7.0
680,21.054,28.5819,7.0
681,21.0241,27.0294,7.0
682,21.974,27.2042,7.0
683,21.215,27.241,7.0
684,22.1189,27.4618,7.0
685,21.4588,27.4227,7.0
686,22.0637,27.8965,7.0
687,21.8222,27.1835,7.0
688,21.215,27.4181,7.0
689,21.1667,26.5165,7.0
690,21.1575,26.7005,7.0
691,21.4772,27.4848,7.0
692,21.8107,27.333,7.0
693,20.7044,27.4411,7.0
694,21.1506,27.5722,7.0
695,20.2007,27.0363,7.0
696,22.8066,27.8321,7.0
697,20.7849,27.5446,7.0
698,21.4519,26.85,7.0
699,20.5296,27.6228,7.0
700,13.5238,18.1077,8.0
701,13.7262,18.3699,8.0
702,13.9792,18.8575,8.0
703,13.5468,18.8805,8.0
704,14.016,18.8667,8.0
705,14.1379,18.9909,8.0
706,13.8596,18.0525,8.0
707,12.6291,20.134,8.0
708,13.8596,18.2733,8.0
709,14.2391,19.5521,8.0
710,15.6007,18.9518,8.0
711,14.0482,17.926,8.0
712,13.05,18.2342,8.0
713,13.1995,16.9186,8.0
714,13.717,18.7103,8.0
715,14.7221,19.1864,8.0
716,14.9153,18.1008,8.0
717,12.9948,20.7136,8.0
718,13.027,18.3561,8.0
719,13.9447,17.88,8.0
720,13.3628,19.2853,8.0
721,14.4622,19.5912,8.0
722,15.051,19.007,8.0
723,14.9521,20.41,8.0
724,13.3375,19.4164,8.0
725,13.8849,18.8621,8.0
726,13.9562,19.5935,8.0
727,12.9925,20.2927,8.0
728,15.1637,19.3704,8.0
729,14.7842,18.2319,8.0
730,14.3587,18.225,8.0
731,14.3426,19.7062,8.0
732,13.349,18.2342,8.0
733,14.0781,17.9214,8.0
734,14.1632,18.7816,8.0
735,15.603,16.9301,8.0
736,14.3081,17.9881,8.0
737,13.1052,19.4624,8.0
738,15.0648,18.6689,8.0
739,12.8499,19.0645,8.0
740,14.0344,19.0507,8.0
741,16.0745,18.1054,8.0
742,13.7262,19.8465,8.0
743,12.6498,18.5792,8.0
744,13.4686,18.892,8.0
745,14.4484,17.7811,8.0
746,12.4152,19.2209,8.0
747,14.2713,18.0893,8.0
748,13.786,18.5217,8.0
749,12.6268,19.7108,8.0
750,14.062,18.7701,8.0
751,13.2386,19.5958,8.0
752,13.464,19.3543,8.0
753,14.1425,19.4003,8.0
754,14.0689,19.4233,8.0
755,12.3209,18.0111,8.0
756,12.8338,18.2204,8.0
757,14.8716,17.9076,8.0
758,14.1448,17.9214,8.0
759,15.5179,18.5286,8.0
760,15.8629,18.0272,8.0
761,13.0454,19.0346,8.0
762,14.5887,17.9467,8.0
763,14.223,18.0019,8.0
764,15.3546,19.1772,8.0
765,14.6002,18.57,8.0
766,14.637,19.6464,8.0
767,12.8384,18.984,8.0
768,13.901,18.1997,8.0
769,15.2212,19.0461,8.0
770,13.9792,17.4729,8.0
771,15.3408,19.3888,8.0
772,13.3513,18.5585,8.0
773,12.9097,19.2071,8.0
774,13.1972,19.4509,8.0
775,13.3927,17.2521,8.0
776,12.6245,19.3405,8.0
777,13.8297,18.9058,8.0
778,13.4272,17.9743,8.0
779,13.7515,19.0875,8.0
780,13.9378,18.6275,8.0
781,12.5164,17.8248,8.0
782,12.8545,19.1473,8.0
783,13.924,19.3888,8.0
784,14.6485,18.7724,8.0
785,13.464,18.4964,8.0
786,13.5192,17.5327,8.0
787,13.1466,19.1312,8.0
788,13.3398,19.4417,8.0
789,13.6963,18.7977,8.0
790,15.373,19.4371,8.0
791,14.5105,16.8519,8.0
792,13.8895,20.4261,8.0
793,15.2695,18.8069,8.0
794,13.6273,18.4987,8.0
795,13.8458,19.3543,8.0
796,13.188,18.6183,8.0
797,13.4939,18.3193,8.0
798,12.8729,18.7103,8.0
799,14.2897,16.8427,8.0
800,18.2158,26.4751,9.0
801,17.9191,25.4401,9.0
802,19.0139,26.4222,9.0
803,17.627,26.6982,9.0
804,18.3354,26.1554,9.0
805,17.9076,24.964,9.0
806,17.4798,26.3969,9.0
807,17.7305,25.3803,9.0
808,18.7793,25.0997,9.0
809,18.0479,26.1669,9.0
810,17.6546,25.6287,9.0
811,18.0939,26.0542,9.0
812,19.0277,25.9691,9.0
813,16.0193,25.7368,9.0
814,16.6817,26.1117,9.0
815,18.1169,24.5063,9.0
816,20.2007,25.7138,9.0
817,17.6868,25.5206,9.0
818,16.2171,25.4562,9.0
819,18.0709,24.9502,9.0
820,18.5332,27.0064,9.0
821,18.1123,26.5257,9.0
822,18.2273,26.4452,9.0
823,18.8759,25.3987,9.0
824,18.5654,25.6862,9.0
825,17.5948,27.4825,9.0
